92-U-233(n,total fission) ENDF/B-VII.1
84.355,6.94462
84.4411,7.84336
84.5754,9.95844
84.7824,13.4534
84.9558,16.1164
85.0488,18.2096
85.1727,22.3931
85.3258,28.3904
85.4214,30.2822
85.448,30.3089
85.5117,29.407
85.6015,26.2432
85.7718,18.8295
85.8709,15.9007
86.0031,13.4751
86.3346,8.29025
86.4249,7.27791
86.5333,6.52514
86.6345,6.22653
86.6634,6.2032
86.7719,6.3436
86.8803,6.88912
86.9726,7.8403
87.0529,9.25749
87.1371,11.4943
87.2525,15.0871
87.3207,16.3773
87.3457,16.5026
87.4038,15.9424
87.4683,14.0901
87.5913,9.3751
87.6514,7.65699
87.6995,6.77102
87.7427,6.31178
87.8091,6.07379
87.9125,6.31069
88.0522,6.76241
88.2399,6.98864
88.3167,7.54824
88.3873,8.5694
88.4578,10.1041
88.5384,12.5536
88.613,15.7328
88.6764,19.517
88.7353,24.3096
88.8007,31.4297
88.8858,43.3396
88.9886,58.2586
89.0515,64.2825
89.0993,65.9187
89.1651,63.53
89.2354,56.2224
89.3812,37.0346
89.4486,30.3929
89.5077,26.4038
89.5735,23.7859
89.6418,22.7148
89.6638,22.6525
89.7592,23.4838
89.9325,27.1835
90.1101,32.221
90.2227,37.2388
90.2916,42.6102
90.3414,48.8801
90.3906,58.3673
90.4295,69.196
90.4734,85.8165
90.5227,110.705
90.6039,163.148
90.6775,209.965
90.7372,233.242
90.7679,236.929
90.8188,229.326
90.8808,200.482
91.0186,111.918
91.0696,86.0737
91.1155,68.4322
91.1615,55.5263
91.2115,45.6494
91.2687,38.0324
91.3403,31.8622
91.4119,27.7832
91.5208,23.6572
91.65,20.4887
91.7792,18.3919
91.9369,16.803
92.1164,16.0754
92.1327,16.0684
92.2633,16.4462
92.3884,17.7703
92.4972,20.0847
92.6011,23.6444
92.7985,32.4717
92.8833,34.6162
92.916,34.7741
93.0008,33.2802
93.2185,23.9867
93.2997,22.0974
93.4011,21.5019
93.5926,22.1284
93.6509,23.1363
93.6991,25.0046
93.7467,28.2398
93.8038,34.2457
93.9277,51.0835
93.9804,55.5004
94.0113,56.2047
94.0582,54.2105
94.1056,48.8403
94.2416,26.4398
94.2876,20.3367
94.3268,16.3917
94.3659,13.5192
94.4094,11.3444
94.4559,9.87241
94.5117,8.8246
94.5898,8.03237
94.7088,7.4338
94.8354,7.20469
94.9024,7.35212
94.9647,7.91039
95.0086,8.78411
95.0437,9.95207
95.0788,11.7078
95.1116,14.0227
95.1515,17.9105
95.1954,23.6578
95.2585,34.248
95.3546,51.1749
95.4108,57.555
95.4606,59.2407
95.5027,57.6263
95.5698,50.7144
95.686,35.3003
95.7407,29.7382
95.7954,25.8481
95.8364,23.8935
95.9018,22.0497
95.9945,21.152
96.0218,21.1351
96.1308,21.8201
96.3045,24.7786
96.5343,29.8522
96.6506,30.8141
96.7785,29.7219
97.0155,26.1626
97.0722,25.871
97.1812,26.2137
97.3266,28.3569
97.472,32.4333
97.5629,36.6547
97.6301,41.6852
97.6874,48.4536
