48-Cd-113(n,&gamma;) ENDF/B-VII.1
291.99,35.9017
292.153,22.217
292.246,15.7665
292.324,11.4753
292.394,8.44886
292.454,6.43702
292.512,4.90457
292.571,3.73251
292.629,2.85183
292.681,2.26256
292.738,1.7793
292.795,1.42385
292.852,1.16264
292.918,0.942115
292.986,0.781998
293.064,0.652377
293.161,0.539967
293.278,0.447278
293.424,0.367093
293.6,0.299879
293.804,0.244584
294.038,0.199796
294.311,0.162818
294.629,0.132511
294.947,0.110867
295.323,0.0923238
295.823,0.0750784
296.375,0.0620038
297.057,0.050995
297.738,0.0433823
298.574,0.0368501
299.576,0.0314691
300.773,0.0271606
302.219,0.0237737
303.866,0.0215162
305.552,0.0206848
306.858,0.0214062
307.641,0.0228678
308.243,0.0249778
308.846,0.0286556
309.248,0.0326676
309.634,0.0386671
309.91,0.0451668
310.166,0.0540611
310.377,0.0649359
310.553,0.0783484
310.693,0.09428
310.794,0.110726
310.894,0.134489
310.982,0.165149
311.057,0.202975
311.125,0.250448
311.193,0.315755
311.261,0.405215
311.329,0.526469
311.396,0.688203
311.469,0.915566
311.539,1.20036
311.619,1.61147
311.722,2.27042
311.89,3.60549
312.059,4.93707
312.184,5.61793
312.3,5.84345
312.416,5.61442
312.541,4.93121
312.878,2.26723
312.981,1.60989
313.061,1.19976
313.131,0.915531
313.204,0.688489
313.271,0.526857
313.339,0.40556
313.407,0.315971
313.475,0.250488
313.545,0.201332
313.615,0.165859
313.686,0.139981
313.786,0.114027
313.886,0.0962217
314.007,0.0811876
314.158,0.0680259
314.353,0.0562056
314.579,0.0468219
314.85,0.0390642
315.172,0.032781
315.593,0.0272859
316.015,0.0235994
316.557,0.0203832
317.16,0.0179802
318.144,0.0154867
319.288,0.0137262
320.815,0.0122987
322.863,0.0111591
325.808,0.0102737
329.685,0.0096653
332.58,0.00949059
335.783,0.00972784
337.945,0.0104282
339.066,0.0112798
339.867,0.0124126
340.427,0.0137593
340.908,0.0156413
341.308,0.0182132
341.588,0.0210548
341.828,0.024784
