95-Am-241(n,total fission) ENDF/B-VII.1
28.2239,0.294994
28.2522,0.428249
28.3047,0.69631
28.328,0.779181
28.3533,0.815028
28.3547,0.815135
28.3801,0.782343
28.403,0.703631
28.4464,0.485274
28.4782,0.326902
28.5004,0.2377
28.5184,0.180845
28.5338,0.142923
28.5492,0.11386
28.5646,0.0922782
28.5801,0.0767697
28.5955,0.0660774
28.6109,0.0592057
28.6263,0.0554737
28.6418,0.0545344
28.6591,0.0568212
28.6768,0.0633088
28.691,0.0722082
28.7052,0.0852091
28.7205,0.104788
28.7361,0.131988
28.7536,0.172526
28.7734,0.231464
28.7994,0.328866
28.8527,0.547619
28.8787,0.620342
28.9028,0.644066
28.9264,0.620831
28.9533,0.545482
29.0231,0.262461
29.0452,0.189928
29.0626,0.145254
29.0799,0.11106
29.0955,0.08829
29.1109,0.0718427
29.1264,0.06032
29.1418,0.0526211
29.1521,0.0491587
29.1727,0.0453289
29.1858,0.0446397
29.2042,0.0456593
29.2252,0.0497391
29.2409,0.0552592
29.259,0.06505
29.275,0.0779495
29.291,0.0961644
29.3071,0.121281
29.3231,0.155031
29.3403,0.202641
29.3583,0.266955
