93-Np-237(n,total fission) ENDF/B-VII.1
21.7037,0.00156253
21.7334,0.0017862
21.7557,0.00205345
21.7743,0.00239136
21.7895,0.00279391
21.8059,0.0034176
21.8203,0.00419488
21.8346,0.00526856
21.849,0.00672759
21.8638,0.00874314
21.8792,0.0114616
21.897,0.0154841
21.9212,0.0223425
21.9699,0.037478
21.9925,0.0422871
22.0148,0.0440109
22.0347,0.0426302
22.0539,0.0389287
22.0875,0.0290443
22.1216,0.0184813
22.1421,0.013299
22.159,0.00994529
22.1744,0.0076017
22.1882,0.005998
22.202,0.00479185
22.2157,0.00390882
22.2303,0.00322793
22.2474,0.00267724
22.2668,0.00226256
22.2867,0.00198685
22.3131,0.00175468
22.3448,0.00158746
22.3871,0.00146488
22.4505,0.00140235
22.4554,0.00140217
22.5137,0.00145193
22.5527,0.00155565
22.5819,0.00170159
22.6062,0.00190898
22.6249,0.00216402
22.6434,0.00255152
22.6596,0.00306037
22.6757,0.00379941
22.6913,0.00480677
22.7071,0.00621278
22.7229,0.00808366
22.7414,0.0109276
22.7648,0.0154932
22.8173,0.0271513
22.8428,0.0309888
22.8638,0.032064
22.8854,0.0309205
22.9102,0.0271613
22.973,0.0134343
22.9915,0.0100987
23.009,0.00758757
23.0236,0.0059688
23.0377,0.0047677
23.0523,0.00383968
23.0669,0.00316523
23.0839,0.00261693
23.1033,0.00220753
23.1262,0.00191126
23.1569,0.00168562
23.2006,0.00152197
23.2532,0.00143241
23.3108,0.00140132
23.3859,0.00144208
23.4309,0.00154336
23.4604,0.0016903
23.485,0.0019113
23.5047,0.00219065
23.5269,0.00265537
23.551,0.00337999
23.5808,0.00457983
23.6297,0.0067581
23.6553,0.00752522
23.6782,0.00776037
23.7045,0.00746154
23.7478,0.00613195
23.7754,0.00533316
23.7911,0.00508631
23.801,0.00504607
23.8172,0.00520923
23.8335,0.00569164
23.8491,0.00647253
23.8706,0.00803486
23.9076,0.0116437
23.9388,0.0146143
23.9649,0.0161677
23.9809,0.0164494
24.0011,0.0160034
24.0272,0.0142611
24.0938,0.00764516
24.1177,0.00577332
24.1378,0.00461144
24.1579,0.00379871
24.178,0.00326741
24.1981,0.00294207
24.2222,0.00273213
24.2491,0.00263777
24.268,0.00262379
24.3247,0.0027198
24.4002,0.00304792
24.466,0.00352374
24.5224,0.00414504
24.5718,0.00497261
24.6119,0.0059946
24.6399,0.00702983
24.6679,0.00849341
24.6907,0.0101826
24.7114,0.0123561
24.729,0.0149294
24.7465,0.0185482
24.7627,0.0232786
24.7776,0.0292925
24.7929,0.0377124
24.8074,0.0483721
24.8217,0.0619966
24.839,0.0834933
24.8591,0.115391
24.8843,0.16543
24.934,0.271738
24.958,0.307034
24.9818,0.319682
25.003,0.309524
25.0235,0.282309
25.0568,0.215106
25.0956,0.131967
25.1166,0.0951336
25.1335,0.0715299
25.1482,0.0553173
25.163,0.0427325
25.1769,0.0336725
25.1916,0.0264962
25.2047,0.0217518
25.2207,0.0175269
25.2379,0.0143484
25.258,0.0118355
25.2809,0.0099444
25.3096,0.00842737
25.3369,0.00747953
25.3778,0.00656511
25.4187,0.00601236
25.4733,0.00561734
25.5279,0.00548564
25.6023,0.00562416
25.6767,0.00610639
25.7465,0.00694357
25.807,0.00813792
25.8473,0.00935822
25.8826,0.0109597
25.9108,0.0129403
25.934,0.01545
25.9543,0.0187795
25.9717,0.0229561
25.9874,0.0282578
26.0033,0.0355683
26.0192,0.0453947
26.0368,0.0598917
26.0544,0.0786423
26.0771,0.109045
26.1396,0.209302
26.1662,0.24001
26.1903,0.251233
26.1936,0.25136
26.2172,0.242664
26.2424,0.218184
26.2908,0.158328
26.3135,0.140294
26.327,0.136453
26.3389,0.138608
26.3509,0.146879
26.3658,0.167221
26.3799,0.198308
26.3939,0.24175
26.4106,0.312359
26.4285,0.411218
26.4525,0.579101
26.5082,1.0271
26.5309,1.16087
26.5557,1.22665
26.5596,1.22794
26.5807,1.19129
26.6074,1.0515
26.6516,0.698765
26.6824,0.460788
26.7034,0.32976
26.7204,0.246469
26.7365,0.184951
26.7514,0.141906
26.7648,0.112
26.7793,0.0877281
26.7941,0.0694428
26.8089,0.0560735
26.8237,0.0462695
26.8415,0.0377904
26.8615,0.0310974
26.8836,0.025877
26.9098,0.0215328
26.9379,0.0182012
26.9774,0.0148813
27.0199,0.0124006
27.074,0.0102014
27.142,0.00828114
27.2181,0.00680124
27.3022,0.00572107
27.3863,0.00500387
27.5004,0.00436742
27.6505,0.00388248
27.8088,0.00363449
27.9618,0.0035641
28.1663,0.00366823
28.3588,0.00398493
28.639,0.00478644
28.7987,0.00557504
28.9398,0.00665342
29.0353,0.00776642
29.1096,0.00909464
29.1598,0.0105487
29.1944,0.0122209
29.2214,0.0143697
29.2439,0.0172027
29.2642,0.0210571
29.2824,0.0260168
29.3005,0.0328587
29.3187,0.0420039
29.3397,0.0557754
29.3649,0.0768938
29.4295,0.139203
29.4558,0.156433
29.4804,0.162367
29.5042,0.157432
29.5305,0.141379
29.6032,0.0758492
29.6274,0.0584491
29.6499,0.0465375
29.6696,0.0392645
29.686,0.0351248
29.7117,0.0313518
29.7417,0.0298539
29.746,0.0298189
29.7758,0.0304293
29.8182,0.0331288
29.8712,0.0387816
29.9242,0.0472621
29.9671,0.0571061
30.0039,0.0688305
30.0379,0.0839765
30.0639,0.100127
30.0898,0.122997
30.1093,0.147405
30.1288,0.181906
30.1463,0.226249
30.1619,0.281325
30.1771,0.355064
30.1911,0.446804
30.2051,0.568093
30.2202,0.739854
30.2358,0.972854
30.2513,1.27192
30.2695,1.7137
30.2924,2.41276
30.3329,3.93218
30.3692,5.23682
30.3966,5.8625
30.4166,6.00908
30.4419,5.78084
30.4689,5.09267
30.5416,2.40571
30.5645,1.71295
30.5832,1.26399
30.5999,0.953708
30.6143,0.746655
30.6287,0.58665
30.643,0.465731
30.6582,0.371737
30.6733,0.303614
30.6905,0.248886
30.7112,0.204026
30.7355,0.168734
30.7695,0.134784
30.8137,0.101323
30.8571,0.0753857
30.8945,0.0586857
30.928,0.0478933
30.9617,0.0402486
31.0003,0.0341885
31.0393,0.0300537
31.0695,0.0279647
31.1097,0.0268287
31.144,0.0277213
31.1782,0.03056
31.2607,0.041047
31.2933,0.0426792
31.3223,0.0413891
31.3543,0.0371571
31.4228,0.0244971
31.451,0.0205495
31.4721,0.0186401
31.4918,0.0177294
31.4984,0.0176082
31.5247,0.0179535
31.5528,0.0195034
