94-Pu-242(n,total fission) ENDF/B-VII.1
232.831,0.435719
232.94,0.298304
233.028,0.18822
233.079,0.135329
233.123,0.0993213
233.163,0.0727548
233.199,0.0536137
233.232,0.0405707
233.264,0.0304579
233.292,0.023734
233.319,0.0184838
233.347,0.0144314
233.377,0.0111376
233.403,0.00898777
233.433,0.00705209
233.464,0.00564353
233.495,0.00461762
233.527,0.0038445
233.564,0.00319985
233.607,0.00267385
233.656,0.00225659
233.717,0.00189409
233.791,0.00158796
233.884,0.00131376
233.994,0.00107669
234.136,8.61527E-4
234.279,7.05917E-4
234.439,5.79602E-4
234.636,4.67754E-4
234.866,3.75693E-4
235.129,3.02043E-4
235.404,2.47417E-4
235.741,1.99957E-4
236.11,1.63359E-4
236.51,1.35194E-4
236.991,1.11656E-4
237.601,9.0894E-5
238.274,7.5353E-5
239.011,6.37418E-5
239.973,5.3887E-5
240.775,4.79417E-5
241.929,4.20636E-5
243.468,3.70848E-5
245.52,3.33554E-5
247.572,3.14596E-5
250.137,3.07056E-5
253.371,3.18627E-5
255.836,3.41072E-5
257.916,3.70095E-5
260.516,4.32395E-5
262.405,5.07144E-5
264.012,6.06515E-5
265.21,7.18568E-5
266.11,8.38839E-5
267.048,1.02034E-4
267.846,1.24678E-4
268.51,1.52044E-4
269.079,1.85494E-4
269.584,2.27299E-4
270.025,2.79883E-4
270.361,3.3487E-4
270.692,4.09412E-4
270.987,5.02089E-4
271.269,6.2664E-4
271.509,7.77264E-4
271.702,9.45234E-4
271.898,0.00118377
272.068,0.00147795
272.202,0.0018008
272.33,0.00223207
272.439,0.002758
272.514,0.00327973
272.578,0.00389367
272.628,0.00458914
272.678,0.00559835
272.723,0.0069041
272.76,0.00851527
272.794,0.0105031
272.828,0.0132859
272.862,0.0171145
272.892,0.0215001
272.921,0.0271975
272.953,0.0352307
272.987,0.046584
273.021,0.0613912
273.055,0.0803615
273.091,0.105152
273.133,0.143023
273.182,0.197993
273.243,0.284462
273.34,0.452633
273.451,0.647874
273.526,0.738597
273.597,0.771462
273.6,0.7715
273.67,0.741542
273.741,0.658954
273.86,0.45201
273.957,0.284092
274.014,0.202429
274.063,0.146612
274.106,0.108023
274.146,0.079628
274.183,0.0596653
274.216,0.0457234
274.25,0.0345917
274.279,0.0272515
274.308,0.0215479
274.338,0.0171547
274.367,0.013747
274.402,0.0107907
274.437,0.00865679
274.472,0.00711194
274.514,0.00578354
274.552,0.00494957
274.601,0.00415278
274.663,0.00346854
274.743,0.00286618
274.844,0.00233576
274.968,0.00188366
275.098,0.00154662
275.264,0.00123909
275.44,0.00100639
275.639,8.18529E-4
275.871,6.62084E-4
276.136,5.35605E-4
276.436,4.35207E-4
276.791,3.52274E-4
277.148,2.92712E-4
277.617,2.37786E-4
278.141,1.96166E-4
278.709,1.65454E-4
279.278,1.44096E-4
280.085,1.23837E-4
281.141,1.08239E-4
282.336,9.91611E-5
283.377,9.59734E-5
284.11,9.5595E-5
286.044,1.00531E-4
287.835,1.11783E-4
289.485,1.2924E-4
290.992,1.53033E-4
292.248,1.81607E-4
293.505,2.21196E-4
294.635,2.72907E-4
295.673,3.40914E-4
296.553,4.2381E-4
297.341,5.29728E-4
298.021,6.59469E-4
298.635,8.25662E-4
299.13,0.001013
299.612,0.00126693
300.012,0.00156147
300.39,0.00195012
300.733,0.00244735
301.016,0.00302253
301.277,0.00375939
301.501,0.00463809
301.693,0.00566469
301.871,0.00697913
302.024,0.00852748
302.172,0.0106079
302.294,0.0130296
302.391,0.0157053
